Сигнал1,Сигнал2,Сигнал3,Сигнал4,art,Название,Тип сигнала,Активность в ibaHD
Положение задвижки,,,gas_valve_closed,SM_Exgauster\[5.6],ЗАКРЫТО задвижка газ эксгаустер №6,digital,1
Положение задвижки,,,gas_valve_open,SM_Exgauster\[5.7],ОТКРЫТО задвижка газ эксгаустер №6,digital,1
Положение задвижки,,,gas_valve_position,SM_Exgauster\[5:13],Положение задвижки газ эксгаустера №6,analog,1
Главный привод,,,rotor_current,SM_Exgauster\[5:9],Ток ротора эксгаустера №6,analog,1
Главный привод,,,rotor_voltage,SM_Exgauster\[5:11],Напряжение ротора эксгаустера №6,analog,1
Главный привод,,,stator_current,SM_Exgauster\[5:10],Ток статора эксгаустера №6,analog,1
Главный привод,,,stator_voltage,SM_Exgauster\[5:12],Напряжение статораэксгаустера №6,analog,1
Маслосистема,,,oil_level,SM_Exgauster\[5:7],Уровень масла в маслосистеме эксгаустера №6,analog,1
Маслосистема,,,oil_pressure,SM_Exgauster\[5:8],Давление масла в маслосистеме эксгаустера №6,analog,1
Работа эксгаустера,,,work,SM_Exgauster\[3.1],62 Работа эксгаустера №6,digital,1
